지역,loc,score,review
대전,국립중앙과학관,40,대전 국립중앙과학관은 무료관도 있지만 유료관도 있습니다. 창의나래관과 천체관 그리고 꿈아띠체험관은 관람료가 이천원입니다.
대전,국립중앙과학관,50,"과학관에서 해마다 한 번씩 하는 행사라고 합니다. 전국의 고등학생들이 초중등학생 대상으로 수학 관련된 재미있는 체험을 할 수 있게 해 줍니다. 초5, 초1 아이들과 함께 갔었는데요, 참석하신 분들이 매우 많아서 원하는 만큼 모두 체험하지는 못했지만 재미있었습니다."
대전,국립중앙과학관,50,중학생 미만 아이들과 함께 가족 단위로 가면 좋을 것 같아요. 과학관이라서 신기하고 흥미로운 것들도 있고 여러가지 체험도 할 수 있더라구요. 아이들과 함께라면 추천해요.
대전,국립중앙과학관,50,상설전시도 볼 만합니다. 그런데 유료입장을 하는 천체관과 창의나래관의 이용을 추천합니다. 천체관은 시간대별로 여러 프로그램을 제공하며 창의나래관에서는 VR채험을 할 수 있어 아이가 좋아합니다. 창의나래관 입장시간보다 조금 일찍가서 줄을 서고 입장하면 전기쇼나 레이더쇼보다 2층으로 올라가서 VR체험을 하는 것이 덜 기다리면서 모두 체험 할 수 있습니다.
대전,국립중앙과학관,40,대전 명소 중 하나입니다. 초중고생이라면 누구나 오는 곳. 다양한 경험을 할 수있는 곳입니다. 가족 나들이 하기 좋은 곳입니다.
대전,국립중앙과학관,50,"아이들 교육용으로도 좋지만, 성인이 가도 많이 배울 수 있는 곳입니다. 대전 사람이라면 꼭 가보세요"
대전,국립중앙과학관,40,과학관련 행사도 종종하고  강연같은것도 자주 합니다  시설이 낡은 것들도 있지만 무료인것을 생각하면 감안 할 수 있습니다  유아를 데리고 가신다면 유아놀이시설 미리 예약하시면 좋아요
대전,국립중앙과학관,50,대전 및 중부지역에 과학교육을 전문으로하는 시설입니다. 각종 대회 및 체험프로그램이 마련되어 있어서 방학이나 휴일을 이용해서 가족들과 함께 나들이장소로도 무척 좋은 곳입니다.
대전,국립중앙과학관,50,유치원이나 초등학교 저학년 아이와 함께 가면 좋습니다. 다양한 볼거리와 즐길거리가 있습니다. 참여수업도 많아 아이들이 아주 좋아합니다.
대전,국립중앙과학관,40,"다른 도시의 과학관처럼 아이들이 좋아할 만한 곳들이 있는 곳, 자기부상열차가 있어 사전에 예약을 하면 좋음, 다만 30분 교육 5분 탑승되는 것을 알고 신청할 것"
대전,국립중앙과학관,50,아이들이 너무 좋아합니다 주차장에 주차하시고 생태식물원 보시고 중앙과학관 구경하시면 반나절 금방지나갑니다 과학관유료시설도있고 무료시설도있는데 무료시설만봐도 볼께 너무많아요
대전,국립중앙과학관,40,"주말이 되면 가족단위로 아이들과 오는 가족들이 많습니다. 아이들도 재밌어하고, 배울것도 많은 것 같습니다. 대전에서 아이들과 주말에 함께하기에는 가장 괜찮은것 같아요"
대전,국립중앙과학관,40,"넓은 부지에 여러가지 과학관이 있는 곳입니다. 중앙에 있는 상설전시관에는 다양한 주제의 전시물과 간단한 체험기구 및 시설들이 있었는 데, 애들은 좋아했습니다. 입구 옆 창의나래관은 별도의 예약을 하고 입장하면, 다양한 현상에 대해 설명을 해주시는 분들이 친절히 설명을 해 줍니다. 예약제라 너무 많이 붐비지 않아서 좋았습니다. 다만, 방문한 날에 정화조를 수리중이라 사용가능한 화장실이 그 넓은 부지에서 몇 개 없고 안내도 제대로 되지 않아서 찾아가기가 쉽지 않았습니다. 직원들 대응도 실망이었습니다."
대전,국립중앙과학관,40,"과학에 관심이 있다면 정말 좋은 곳입니다. Yiu는 진화론, 공간, 전기 및 생물학적 증거를 배울 수 있습니다. 아이들을 데려 오면이 곳이 그들의 교육을 도울 수 있다고 생각합니다."
대전,국립중앙과학관,50,"나는 8 월에 대전의 국립 과학 박물관을 방문했다. 많은 징후가 영어뿐만 아니라 한국어로도 있었고 박물관은 방문자가 미리 일정을 잡으면 영어 주관 프로그램을 제공합니다. 이 복합 단지는 엄청나며 실습을 많이합니다. 나는 몇 시간 동안 과학 기술 홀, 자연사 및 생물권을 방문하여 모든 것을 볼 수없는 것처럼 느꼈습니다. 나는 다시 돌아가고 싶다!"
